"","X","Units","Month","Section","WC","WC_int","elev_mean","slope_mean","contr_max_km2","stream_sum","recur_mean","occur_mean","ext_sum","Dist_fromLast","Dist_toNext","Dam","mapbio_maj","mb_forest_","mb_savan_m","mb_grass_m","mb_past_me","mb_agri_me","mb_water_m","mb_crops_m","acm30","api30","Level","Vol_hm3","dV_hm3","PSndvi_mean","PSndwi_mean"
"3503",3503,29150,6,"BN","Dry",1,558.4,0,130.1757813,6,0,0,0,1652.578265,218.8711352,0,15,0,0,0,1,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.564632685,-0.602781629
"3509",3509,29200,6,"BN","Dry",1,557.65,0,130.2148438,9,0,0,0,1664.78689,169.3369518,0,15,0,0,0,0.833333333,0,0,0.166666667,77.978,5.041834104,441.84,5.57,-0.01,0.525876467,-0.572564682
"3515",3515,29250,6,"BN","Dry",1,557.34,0,130.2173438,8,0,0,0,1663.79445,120.7567022,0,15,0,0,0,0.875,0,0,0.125,77.978,5.041834104,441.84,5.57,-0.01,0.526400769,-0.581105624
"3521",3521,29300,6,"BN","Dry",1,558.24,0,130.325625,6,0,0,0,1659.967686,76.03921022,0,15,0,0,0,1,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.529590859,-0.590204916
"3527",3527,29350,6,"BN","Dry",1,560,0.02,130.3285938,6,0,0,0,0,0,1,15,0,0,0,1,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.522437922,-0.592335348
"3533",3533,29400,6,"BN","Dry",1,560.7,0.03,130.3315625,6,0,0,0,0,0,1,15,0,0,0,1,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.567388878,-0.618477618
"3539",3539,29450,6,"BN","Dry",1,560.57,0.03,130.3890625,7,0,0,0,0,0,1,15,0,0,0,0.625,0.375,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.591760106,-0.631526409
"3545",3545,29500,6,"BN","Dry",1,559.87,0.02,130.3965625,7,0,0,0,0,0,1,12,0,0.25,0.375,0.125,0.25,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.597022665,-0.634901112
"3551",3551,29550,6,"BN","Dry",1,559.81,0.02,130.3973438,6,0,0,0,70.3505254,686.7988929,0,12,0,0.3,0.4,0.2,0,0,0.1,77.978,5.041834104,441.84,5.57,-0.01,0.601282746,-0.635158388
"3557",3557,29600,6,"BN","Dry",1,559.88,0.02,131.8757813,10,0,0,0,117.3863702,638.5225629,0,15,0,0,0.333333333,0.555555556,0,0,0.111111111,77.978,5.041834104,441.84,5.57,-0.01,0.625857511,-0.642915024
"3563",3563,29650,6,"BN","Dry",1,559.26,0,131.9348438,11,0,0,0,164.0293185,603.0252054,0,15,0,0,0.375,0.625,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.620973948,-0.642137742
"3569",3569,29700,6,"BN","Dry",1,558.96,0.01,131.9420313,7,0,0,0,212.5131729,560.3301466,0,15,0,0.111111111,0.333333333,0.555555556,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.621112927,-0.646268325
"3575",3575,29750,6,"BN","Dry",1,558.55,0,131.9598438,8,0,0,0,259.3347485,511.8686964,0,12,0,0.25,0.5,0.25,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.643712039,-0.664286596
"3581",3581,29800,6,"BN","Dry",1,558.98,0,131.9628125,9,1.222222222,0.111111111,1,305.2733474,462.2170532,0,12,0,0.375,0.625,0,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.640925102,-0.663533374
"3587",3587,29850,6,"BN","Dry",1,559.42,0.01,132.1379688,12,0.916666667,0.083333333,1,354.5772236,415.7944754,0,4,0,0.75,0.25,0,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.642193605,-0.661812063
"3593",3593,29900,6,"BN","Dry",1,559.5,0.02,132.144375,10,0,0,0,404.5020975,374.6540824,0,4,0,0.833333333,0.166666667,0,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.637663803,-0.662477076
"3599",3599,29950,6,"BN","Dry",1,560.23,0.03,132.14625,6,0,0,0,453.375074,342.1928781,0,4,0,0.777777778,0.222222222,0,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.619684491,-0.650154952
"3605",3605,30000,6,"BN","Dry",1,560.35,0.05,132.1492188,6,0,0,0,486.7202585,304.6134283,0,12,0,0.375,0.625,0,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.586584585,-0.6326151
