"","Units","dates","elev_mean","Dist_fromLast","Dist_toNext","contr_max_km2","PSndvi_mean","PSndwi_mean"
"145",550,"2022-08-11",764.3333333,NA,3614.237654,0.408125,NA,NA
"146",550,"2022-09-20",764.3333333,NA,3614.237654,0.408125,NA,NA
"147",550,"2022-05-23",764.3333333,NA,3614.237654,0.408125,NA,NA
"148",550,"2022-08-20",764.3333333,NA,3614.237654,0.408125,NA,NA
"149",550,"2022-07-11",764.3333333,NA,3614.237654,0.408125,0.666547748062253,-0.661738950616391
"150",550,"2022-10-04",764.3333333,NA,3614.237654,0.408125,0.403924227439046,-0.520625594329894
"151",550,"2022-08-27",764.3333333,NA,3614.237654,0.408125,NA,NA
"152",550,"2022-12-07",764.3333333,NA,3614.237654,0.408125,NA,NA
"153",550,"2022-04-27",764.3333333,NA,3614.237654,0.408125,NA,NA
"154",550,"2022-09-05",764.3333333,NA,3614.237654,0.408125,0.47,-0.57
"155",550,"2022-06-28",764.3333333,NA,3614.237654,0.408125,0.716309126,-0.683608194
"156",550,"2022-07-22",764.3333333,NA,3614.237654,0.408125,NA,NA
"157",600,"2022-09-20",765.25,NA,3591.75339,0.4090625,NA,NA
"158",600,"2022-06-28",765.25,NA,3591.75339,0.4090625,0.718081222,-0.681664263
"159",600,"2022-10-29",765.25,NA,3591.75339,0.4090625,NA,NA
"160",600,"2022-05-23",765.25,NA,3591.75339,0.4090625,NA,NA
"161",600,"2022-07-22",765.25,NA,3591.75339,0.4090625,NA,NA
"162",600,"2022-04-27",765.25,NA,3591.75339,0.4090625,NA,NA
"163",600,"2022-10-04",765.25,NA,3591.75339,0.4090625,0.408617634820391,-0.522022131336283
"164",600,"2022-12-07",765.25,NA,3591.75339,0.4090625,NA,NA
"165",600,"2022-08-20",765.25,NA,3591.75339,0.4090625,NA,NA
"166",600,"2022-08-11",765.25,NA,3591.75339,0.4090625,NA,NA
"167",600,"2022-08-27",765.25,NA,3591.75339,0.4090625,NA,NA
"168",600,"2022-09-05",765.25,NA,3591.75339,0.4090625,0.48,-0.57
"169",600,"2022-07-11",765.25,NA,3591.75339,0.4090625,0.674018944297399,-0.664229620643647
"170",650,"2022-06-28",764.625,NA,3562.707152,0.40984375,0.724818757,-0.684616358
"171",650,"2022-09-05",764.625,NA,3562.707152,0.40984375,0.49,-0.58
"172",650,"2022-05-23",764.625,NA,3562.707152,0.40984375,NA,NA
"173",650,"2022-12-07",764.625,NA,3562.707152,0.40984375,NA,NA
"174",650,"2022-07-11",764.625,NA,3562.707152,0.40984375,0.682007825859757,-0.667191451372102
"175",650,"2022-04-27",764.625,NA,3562.707152,0.40984375,NA,NA
