"","Units","date","elev_mean","Dist_fromLast","Dist_toNext","contr_max_km2","SENTmndwi_mean"
"251",1000,"20/09/2022",762.375,NA,3344.981542,0.48546875,-0.316100338
"252",1000,"23/05/2022",762.375,NA,3344.981542,0.48546875,-0.23894594
"253",1050,"21/08/2022",761.5,NA,3312.363278,0.488125,-0.29361629
"254",1050,"22/07/2022",761.5,NA,3312.363278,0.488125,-0.276637262
"255",1050,"05/10/2022",761.5,NA,3312.363278,0.488125,-0.32227824
"256",1050,"05/09/2022",761.5,NA,3312.363278,0.488125,-0.306724507
"257",1050,"31/08/2022",761.5,NA,3312.363278,0.488125,-0.298975563
"258",1050,"11/08/2022",761.5,NA,3312.363278,0.488125,-0.282153679
"259",1050,"01/08/2022",761.5,NA,3312.363278,0.488125,-0.288494278
"260",1050,"30/10/2022",761.5,NA,3312.363278,0.488125,-0.325502624
"261",1050,"27/06/2022",761.5,NA,3312.363278,0.488125,-0.242266529759803
"262",1050,"12/07/2022",761.5,NA,3312.363278,0.488125,-0.259094627
"263",1050,"20/09/2022",761.5,NA,3312.363278,0.488125,-0.31683801
"264",1050,"23/05/2022",761.5,NA,3312.363278,0.488125,-0.239900544
"265",1100,"11/08/2022",760.1111111,NA,3280.182777,0.5040625,-0.279227027
"266",1100,"22/07/2022",760.1111111,NA,3280.182777,0.5040625,-0.274379385
"267",1100,"12/07/2022",760.1111111,NA,3280.182777,0.5040625,-0.257362362
"268",1100,"20/09/2022",760.1111111,NA,3280.182777,0.5040625,-0.314734395
"269",1100,"05/09/2022",760.1111111,NA,3280.182777,0.5040625,-0.304817035
"270",1100,"21/08/2022",760.1111111,NA,3280.182777,0.5040625,-0.291345375
"271",1100,"23/05/2022",760.1111111,NA,3280.182777,0.5040625,-0.236291705
"272",1100,"01/08/2022",760.1111111,NA,3280.182777,0.5040625,-0.286341344
"273",1100,"30/10/2022",760.1111111,NA,3280.182777,0.5040625,-0.323605252
"274",1100,"31/08/2022",760.1111111,NA,3280.182777,0.5040625,-0.296738748
"275",1100,"05/10/2022",760.1111111,NA,3280.182777,0.5040625,-0.319777917
"276",1100,"27/06/2022",760.1111111,NA,3280.182777,0.5040625,-0.238585236553962
"277",1150,"11/08/2022",759.125,NA,3248.45305,0.5371875,-0.279438306
"278",1150,"01/08/2022",759.125,NA,3248.45305,0.5371875,-0.288082069
"279",1150,"21/08/2022",759.125,NA,3248.45305,0.5371875,-0.290953962
"280",1150,"05/09/2022",759.125,NA,3248.45305,0.5371875,-0.305402929
"281",1150,"27/06/2022",759.125,NA,3248.45305,0.5371875,-0.236502793770802
"282",1150,"12/07/2022",759.125,NA,3248.45305,0.5371875,-0.257362354
"283",1150,"30/10/2022",759.125,NA,3248.45305,0.5371875,-0.325297597
"284",1150,"31/08/2022",759.125,NA,3248.45305,0.5371875,-0.297587305
"285",1150,"20/09/2022",759.125,NA,3248.45305,0.5371875,-0.315535745
"286",1150,"22/07/2022",759.125,NA,3248.45305,0.5371875,-0.275762765
"287",1150,"05/10/2022",759.125,NA,3248.45305,0.5371875,-0.320831928
"288",1150,"23/05/2022",759.125,NA,3248.45305,0.5371875,-0.233954414
"289",1200,"30/10/2022",758,NA,3217.187434,0.53953125,-0.324756911
"290",1200,"22/07/2022",758,NA,3217.187434,0.53953125,-0.276488207
"291",1200,"20/09/2022",758,NA,3217.187434,0.53953125,-0.315510336
"292",1200,"01/08/2022",758,NA,3217.187434,0.53953125,-0.288548263
"293",1200,"31/08/2022",758,NA,3217.187434,0.53953125,-0.297133932
"294",1200,"21/08/2022",758,NA,3217.187434,0.53953125,-0.290744521
"295",1200,"23/05/2022",758,NA,3217.187434,0.53953125,-0.234855158
"296",1200,"05/10/2022",758,NA,3217.187434,0.53953125,-0.320364115
"297",1200,"27/06/2022",758,NA,3217.187434,0.53953125,-0.238404496386647
"298",1200,"05/09/2022",758,NA,3217.187434,0.53953125,-0.305220766
"299",1200,"11/08/2022",758,NA,3217.187434,0.53953125,-0.280907962
"300",1200,"12/07/2022",758,NA,3217.187434,0.53953125,-0.259323855
"301",1250,"21/08/2022",757.125,NA,3175.734279,0.5596875,-0.286726761
"302",1250,"05/10/2022",757.125,NA,3175.734279,0.5596875,-0.316722657
"303",1250,"23/05/2022",757.125,NA,3175.734279,0.5596875,-0.230078628
"304",1250,"31/08/2022",757.125,NA,3175.734279,0.5596875,-0.294010907
"305",1250,"22/07/2022",757.125,NA,3175.734279,0.5596875,-0.272733185
"306",1250,"20/09/2022",757.125,NA,3175.734279,0.5596875,-0.311393689
"307",1250,"01/08/2022",757.125,NA,3175.734279,0.5596875,-0.284625625
"308",1250,"12/07/2022",757.125,NA,3175.734279,0.5596875,-0.257166738
"309",1250,"27/06/2022",757.125,NA,3175.734279,0.5596875,-0.235632309355797
"310",1250,"30/10/2022",757.125,NA,3175.734279,0.5596875,-0.321676571
"311",1250,"11/08/2022",757.125,NA,3175.734279,0.5596875,-0.275102605
"312",1250,"05/09/2022",757.125,NA,3175.734279,0.5596875,-0.300748791
"313",1300,"20/09/2022",756.5,NA,3127.157269,0.5625,-0.312624385
"314",1300,"01/08/2022",756.5,NA,3127.157269,0.5625,-0.285547016
"315",1300,"23/05/2022",756.5,NA,3127.157269,0.5625,-0.23067362
"316",1300,"27/06/2022",756.5,NA,3127.157269,0.5625,-0.236553336565311
"317",1300,"12/07/2022",756.5,NA,3127.157269,0.5625,-0.256164479
"318",1300,"05/09/2022",756.5,NA,3127.157269,0.5625,-0.302149814
"319",1300,"05/10/2022",756.5,NA,3127.157269,0.5625,-0.317881445
"320",1300,"30/10/2022",756.5,NA,3127.157269,0.5625,-0.323041776
"321",1300,"11/08/2022",756.5,NA,3127.157269,0.5625,-0.275918767
"322",1300,"22/07/2022",756.5,NA,3127.157269,0.5625,-0.273705166
"323",1300,"31/08/2022",756.5,NA,3127.157269,0.5625,-0.295115733
"324",1300,"21/08/2022",756.5,NA,3127.157269,0.5625,-0.28830001
"325",1350,"05/10/2022",756.375,NA,3078.625747,0.56484375,-0.319493467
"326",1350,"12/07/2022",756.375,NA,3078.625747,0.56484375,-0.256874673
"327",1350,"30/10/2022",756.375,NA,3078.625747,0.56484375,-0.323901853
"328",1350,"23/05/2022",756.375,NA,3078.625747,0.56484375,-0.235109287
"329",1350,"27/06/2022",756.375,NA,3078.625747,0.56484375,-0.240342237986624
"330",1350,"20/09/2022",756.375,NA,3078.625747,0.56484375,-0.314883003
"331",1350,"05/09/2022",756.375,NA,3078.625747,0.56484375,-0.304118682
"332",1350,"22/07/2022",756.375,NA,3078.625747,0.56484375,-0.274686654
"333",1350,"21/08/2022",756.375,NA,3078.625747,0.56484375,-0.291002091
"334",1350,"31/08/2022",756.375,NA,3078.625747,0.56484375,-0.297030159
"335",1350,"11/08/2022",756.375,NA,3078.625747,0.56484375,-0.278504958
"336",1350,"01/08/2022",756.375,NA,3078.625747,0.56484375,-0.287017053
"337",1400,"20/09/2022",755.625,NA,3030.141897,0.64015625,-0.313652702
"338",1400,"23/05/2022",755.625,NA,3030.141897,0.64015625,-0.234035863
"339",1400,"12/07/2022",755.625,NA,3030.141897,0.64015625,-0.257244251
"340",1400,"05/09/2022",755.625,NA,3030.141897,0.64015625,-0.303565484
"341",1400,"05/10/2022",755.625,NA,3030.141897,0.64015625,-0.317360886
"342",1400,"27/06/2022",755.625,NA,3030.141897,0.64015625,-0.239740974918196
"343",1400,"01/08/2022",755.625,NA,3030.141897,0.64015625,-0.286921078
"344",1400,"31/08/2022",755.625,NA,3030.141897,0.64015625,-0.297249245
"345",1400,"22/07/2022",755.625,NA,3030.141897,0.64015625,-0.274565603
"346",1400,"21/08/2022",755.625,NA,3030.141897,0.64015625,-0.290554584
"347",1400,"11/08/2022",755.625,NA,3030.141897,0.64015625,-0.275997027
"348",1400,"30/10/2022",755.625,NA,3030.141897,0.64015625,-0.323609645
"349",1450,"05/10/2022",755.75,NA,2981.708048,0.6534375,-0.314912868
"350",1450,"20/09/2022",755.75,NA,2981.708048,0.6534375,-0.311683164
"351",1450,"23/05/2022",755.75,NA,2981.708048,0.6534375,-0.233455469
