"","Date","EP2","Comments"
"327",2022-10-29,0,"Preenchido EP1"
"328",2022-10-30,0,"Preenchido EP1"
"329",2022-10-31,0,"Preenchido EP1"
"330",2022-11-01,0,"Preenchido EP1"
"331",2022-11-02,0,"Preenchido EP1"
"332",2022-11-03,10.6,"Preenchido EP1"
"333",2022-11-04,110,"Preenchido EP1"
"334",2022-11-05,1.6,"Preenchido EP1"
"335",2022-11-06,25.6,"Preenchido EP1"
"336",2022-11-07,0,NA
"337",2022-11-08,6.604,NA
"338",2022-11-09,0,NA
"339",2022-11-10,0,NA
"340",2022-11-11,0,NA
"341",2022-11-12,0,NA
"342",2022-11-13,0,NA
"343",2022-11-14,3.048,NA
"344",2022-11-15,0,NA
"345",2022-11-16,0,NA
"346",2022-11-17,0,NA
"347",2022-11-18,0,NA
"348",2022-11-19,0,NA
"349",2022-11-20,0,NA
"350",2022-11-21,0,NA
"351",2022-11-22,0,NA
"352",2022-11-23,0,NA
"353",2022-11-24,0,NA
"354",2022-11-25,0,NA
"355",2022-11-26,0,NA
"356",2022-11-27,0,NA
"357",2022-11-28,0,NA
"358",2022-11-29,0.254,NA
"359",2022-11-30,17.272,NA
"360",2022-12-01,0.508,NA
"361",2022-12-02,32.004,NA
"362",2022-12-03,0,NA
"363",2022-12-04,0.762,NA
"364",2022-12-05,0,NA
"365",2022-12-06,0.254,NA
"366",2022-12-07,0,NA
"367",2022-12-08,0,NA
"368",2022-12-09,0,NA
"369",2022-12-10,0,NA
"370",2022-12-11,0,NA
"371",2022-12-12,0,NA
"372",2022-12-13,0,NA
"373",2022-12-14,0,NA
"374",2022-12-15,0,NA
"375",2022-12-16,0,NA
"376",2022-12-17,0,NA
"377",2022-12-18,0,NA
"378",2022-12-19,0,NA
"379",2022-12-20,0,NA
"380",2022-12-21,0,NA
"381",2022-12-22,0,NA
"382",2022-12-23,20.574,NA
"383",2022-12-24,0,NA
"384",2022-12-25,0,NA
"385",2022-12-26,0,NA
"386",2022-12-27,0,NA
"387",2022-12-28,0,NA
"388",2022-12-29,0,NA
"389",2022-12-30,0,NA
"390",2022-12-31,2.54,NA
