"","X","Units","Month","Section","WC","WC_int","elev_mean","slope_mean","contr_max_km2","stream_sum","recur_mean","occur_mean","ext_sum","Dist_fromLast","Dist_toNext","Dam","mapbio_maj","mb_forest_","mb_savan_m","mb_grass_m","mb_past_me","mb_agri_me","mb_water_m","mb_crops_m","acm30","api30","Level","Vol_hm3","dV_hm3"
"3215",3215,26750,6,"BN","Wet",4,562.9,0,117.971875,7,61.33333333,29.55555556,6,0,0,1,33,0,0,0,0,0.222222222,0.777777778,0,77.978,5.041834104,441.84,5.57,-0.01
"3219",3219,26800,4,"BN","NotDet",2,563.87,0,117.9775,6,28.8,10,3,0,0,1,21,0.222222222,0,0,0,0.444444444,0.333333333,0,134.366,48.93342858,441.95,5.7,0
"3221",3221,26800,6,"BN","NotDet",2,563.87,0,117.9775,6,28.8,10,3,0,0,1,21,0.222222222,0,0,0,0.444444444,0.333333333,0,77.978,5.041834104,441.84,5.57,-0.01
"3225",3225,26850,4,"BN","NotDet",2,564.92,0.01,117.9789063,6,0,0,0,83.28248153,1624.071861,0,3,0.555555556,0,0,0,0.444444444,0,0,134.366,48.93342858,441.95,5.7,0
"3227",3227,26850,6,"BN","NotDet",2,564.92,0.01,117.9789063,6,0,0,0,83.28248153,1624.071861,0,3,0.555555556,0,0,0,0.444444444,0,0,77.978,5.041834104,441.84,5.57,-0.01
"3231",3231,26900,4,"BN","Dry",1,564.72,0.01,118.1060938,6,0,0,0,133.2142028,1577.870528,0,3,0.5,0,0,0.25,0.25,0,0,134.366,48.93342858,441.95,5.7,0
"3233",3233,26900,6,"BN","Dry",1,564.72,0.01,118.1060938,6,0,0,0,133.2142028,1577.870528,0,3,0.5,0,0,0.25,0.25,0,0,77.978,5.041834104,441.84,5.57,-0.01
"3237",3237,26950,4,"BN","Dry",1,564.19,0,118.1107813,7,0,0,0,183.1315738,1531.205028,0,15,0,0,0,1,0,0,0,134.366,48.93342858,441.95,5.7,0
"3239",3239,26950,6,"BN","Dry",1,564.19,0,118.1107813,7,0,0,0,183.1315738,1531.205028,0,15,0,0,0,1,0,0,0,77.978,5.041834104,441.84,5.57,-0.01
"3243",3243,27000,4,"BN","NotDet",2,563.56,0,118.1148438,8,0,0,0,233.043292,1484.435881,0,15,0,0,0,0.888888889,0,0,0.111111111,134.366,48.93342858,441.95,5.7,0
"3245",3245,27000,6,"BN","Dry",1,563.56,0,118.1148438,8,0,0,0,233.043292,1484.435881,0,15,0,0,0,0.888888889,0,0,0.111111111,77.978,5.041834104,441.84,5.57,-0.01
"3249",3249,27050,4,"BN","NotDet",2,563.6,0,118.1154688,6,0,0,0,277.8870382,1451.290119,0,15,0,0,0,0.555555556,0,0,0.444444444,134.366,48.93342858,441.95,5.7,0
"3251",3251,27050,6,"BN","Dry",1,563.6,0,118.1154688,6,0,0,0,277.8870382,1451.290119,0,15,0,0,0,0.555555556,0,0,0.444444444,77.978,5.041834104,441.84,5.57,-0.01
"3254",3254,27100,3,"BN","NotDet",2,564.29,0.01,118.1164063,6,0,0,0,315.0851704,1438.145545,0,41,0,0,0,0.222222222,0,0,0.777777778,256.794,63.72674999,441.99,5.75,0
"3255",3255,27100,4,"BN","NotDet",2,564.29,0.01,118.1164063,6,0,0,0,315.0851704,1438.145545,0,41,0,0,0,0.222222222,0,0,0.777777778,134.366,48.93342858,441.95,5.7,0
"3257",3257,27100,6,"BN","Dry",1,564.29,0.01,118.1164063,6,0,0,0,315.0851704,1438.145545,0,41,0,0,0,0.222222222,0,0,0.777777778,77.978,5.041834104,441.84,5.57,-0.01
"3260",3260,27150,3,"BN","NotDet",2,564.7,0.02,118.2903125,8,0,0,0,362.9726015,1395.616099,0,41,0,0,0,0.125,0,0,0.875,256.794,63.72674999,441.99,5.75,0
"3261",3261,27150,4,"BN","NotDet",2,564.7,0.02,118.2903125,8,0,0,0,362.9726015,1395.616099,0,41,0,0,0,0.125,0,0,0.875,134.366,48.93342858,441.95,5.7,0
"3263",3263,27150,6,"BN","Dry",1,564.7,0.02,118.2903125,8,0,0,0,362.9726015,1395.616099,0,41,0,0,0,0.125,0,0,0.875,77.978,5.041834104,441.84,5.57,-0.01
"3266",3266,27200,3,"BN","NotDet",2,565.48,0.03,118.3123438,9,0,0,0,407.2516608,1346.056067,0,41,0,0,0,0.333333333,0,0,0.666666667,256.794,63.72674999,441.99,5.75,0
"3267",3267,27200,4,"BN","NotDet",2,565.48,0.03,118.3123438,9,0,0,0,407.2516608,1346.056067,0,41,0,0,0,0.333333333,0,0,0.666666667,134.366,48.93342858,441.95,5.7,0
"3269",3269,27200,6,"BN","Dry",1,565.48,0.03,118.3123438,9,0,0,0,407.2516608,1346.056067,0,41,0,0,0,0.333333333,0,0,0.666666667,77.978,5.041834104,441.84,5.57,-0.01
"3272",3272,27250,3,"BN","NotDet",2,564.65,0.01,118.3148438,5,0,0,0,454.9871504,1310.824486,0,15,0,0,0,0.5,0,0,0.5,256.794,63.72674999,441.99,5.75,0
"3273",3273,27250,4,"BN","NotDet",2,564.65,0.01,118.3148438,5,0,0,0,454.9871504,1310.824486,0,15,0,0,0,0.5,0,0,0.5,134.366,48.93342858,441.95,5.7,0
"3275",3275,27250,6,"BN","Dry",1,564.65,0.01,118.3148438,5,0,0,0,454.9871504,1310.824486,0,15,0,0,0,0.5,0,0,0.5,77.978,5.041834104,441.84,5.57,-0.01
"3278",3278,27300,3,"BN","NotDet",2,564.12,0,118.3178125,8,0,0,0,495.8372034,1261.243094,0,41,0,0,0,0.375,0,0,0.625,256.794,63.72674999,441.99,5.75,0
"3279",3279,27300,4,"BN","NotDet",2,564.12,0,118.3178125,8,0,0,0,495.8372034,1261.243094,0,41,0,0,0,0.375,0,0,0.625,134.366,48.93342858,441.95,5.7,0
"3281",3281,27300,6,"BN","Dry",1,564.12,0,118.3178125,8,0,0,0,495.8372034,1261.243094,0,41,0,0,0,0.375,0,0,0.625,77.978,5.041834104,441.84,5.57,-0.01
"3284",3284,27350,3,"BN","NotDet",2,563.98,0,118.3185938,12,0,0,0,539.4149258,1211.355408,0,41,0,0,0,0.25,0,0,0.75,256.794,63.72674999,441.99,5.75,0
"3285",3285,27350,4,"BN","NotDet",2,563.98,0,118.3185938,12,0,0,0,539.4149258,1211.355408,0,41,0,0,0,0.25,0,0,0.75,134.366,48.93342858,441.95,5.7,0
"3287",3287,27350,6,"BN","Dry",1,563.98,0,118.3185938,12,0,0,0,539.4149258,1211.355408,0,41,0,0,0,0.25,0,0,0.75,77.978,5.041834104,441.84,5.57,-0.01
"3290",3290,27400,3,"BN","NotDet",2,564.12,0,120.785,11,0,0,0,578.323787,1162.37933,0,41,0,0,0,0.375,0,0,0.625,256.794,63.72674999,441.99,5.75,0
"3291",3291,27400,4,"BN","NotDet",2,564.12,0,120.785,11,0,0,0,578.323787,1162.37933,0,41,0,0,0,0.375,0,0,0.625,134.366,48.93342858,441.95,5.7,0
"3293",3293,27400,6,"BN","Dry",1,564.12,0,120.785,11,0,0,0,578.323787,1162.37933,0,41,0,0,0,0.375,0,0,0.625,77.978,5.041834104,441.84,5.57,-0.01
"3296",3296,27450,3,"BN","NotDet",2,564.5,0.01,120.7857813,7,0,0,0,574.2019465,1151.053151,0,41,0,0,0,0.375,0,0,0.625,256.794,63.72674999,441.99,5.75,0
"3297",3297,27450,4,"BN","NotDet",2,564.5,0.01,120.7857813,7,0,0,0,574.2019465,1151.053151,0,41,0,0,0,0.375,0,0,0.625,134.366,48.93342858,441.95,5.7,0
"3299",3299,27450,6,"BN","Dry",1,564.5,0.01,120.7857813,7,0,0,0,574.2019465,1151.053151,0,41,0,0,0,0.375,0,0,0.625,77.978,5.041834104,441.84,5.57,-0.01
"3302",3302,27500,3,"BN","NotDet",2,564.63,0.01,120.7910938,6,0,0,0,534.7151293,1185.193725,0,15,0,0,0,0.5,0,0,0.5,256.794,63.72674999,441.99,5.75,0
"3303",3303,27500,4,"BN","NotDet",2,564.63,0.01,120.7910938,6,0,0,0,534.7151293,1185.193725,0,15,0,0,0,0.5,0,0,0.5,134.366,48.93342858,441.95,5.7,0
"3305",3305,27500,6,"BN","Dry",1,564.63,0.01,120.7910938,6,0,0,0,534.7151293,1185.193725,0,15,0,0,0,0.5,0,0,0.5,77.978,5.041834104,441.84,5.57,-0.01
"3308",3308,27550,3,"BN","NotDet",2,564.48,0,120.860625,7,0,0,0,549.0815589,1158.748046,0,15,0,0,0.25,0.5,0,0,0.25,256.794,63.72674999,441.99,5.75,0
"3309",3309,27550,4,"BN","NotDet",2,564.48,0,120.860625,7,0,0,0,549.0815589,1158.748046,0,15,0,0,0.25,0.5,0,0,0.25,134.366,48.93342858,441.95,5.7,0
"3311",3311,27550,6,"BN","NotDet",2,564.48,0,120.860625,7,0,0,0,549.0815589,1158.748046,0,15,0,0,0.25,0.5,0,0,0.25,77.978,5.041834104,441.84,5.57,-0.01
"3314",3314,27600,3,"BN","NotDet",2,564.81,0.01,120.8609375,6,0,0,0,591.6610975,1119.027923,0,15,0,0.111111111,0.333333333,0.444444444,0,0,0.111111111,256.794,63.72674999,441.99,5.75,0
"3315",3315,27600,4,"BN","NotDet",2,564.81,0.01,120.8609375,6,0,0,0,591.6610975,1119.027923,0,15,0,0.111111111,0.333333333,0.444444444,0,0,0.111111111,134.366,48.93342858,441.95,5.7,0
"3317",3317,27600,6,"BN","NotDet",2,564.81,0.01,120.8609375,6,0,0,0,591.6610975,1119.027923,0,15,0,0.111111111,0.333333333,0.444444444,0,0,0.111111111,77.978,5.041834104,441.84,5.57,-0.01
"3320",3320,27650,3,"BN","NotDet",2,564.77,0.01,120.8620313,7,0,0,0,636.4449831,1081.628708,0,15,0,0.333333333,0.111111111,0.444444444,0,0,0.111111111,256.794,63.72674999,441.99,5.75,0
"3321",3321,27650,4,"BN","NotDet",2,564.77,0.01,120.8620313,7,0,0,0,636.4449831,1081.628708,0,15,0,0.333333333,0.111111111,0.444444444,0,0,0.111111111,134.366,48.93342858,441.95,5.7,0
"3323",3323,27650,6,"BN","NotDet",2,564.77,0.01,120.8620313,7,0,0,0,636.4449831,1081.628708,0,15,0,0.333333333,0.111111111,0.444444444,0,0,0.111111111,77.978,5.041834104,441.84,5.57,-0.01
"3326",3326,27700,3,"BN","NotDet",2,564.6,0.01,120.8626563,10,0,0,0,684.745166,1037.335744,0,15,0,0.25,0,0.625,0,0,0.125,256.794,63.72674999,441.99,5.75,0
"3327",3327,27700,4,"BN","NotDet",2,564.6,0.01,120.8626563,10,0,0,0,684.745166,1037.335744,0,15,0,0.25,0,0.625,0,0,0.125,134.366,48.93342858,441.95,5.7,0
"3329",3329,27700,6,"BN","NotDet",2,564.6,0.01,120.8626563,10,0,0,0,684.745166,1037.335744,0,15,0,0.25,0,0.625,0,0,0.125,77.978,5.041834104,441.84,5.57,-0.01
"3332",3332,27750,3,"BN","NotDet",2,564.98,0.01,120.8632813,13,0,0,0,726.6454247,991.0815274,0,15,0,0.333333333,0,0.666666667,0,0,0,256.794,63.72674999,441.99,5.75,0
"3333",3333,27750,4,"BN","NotDet",2,564.98,0.01,120.8632813,13,0,0,0,726.6454247,991.0815274,0,15,0,0.333333333,0,0.666666667,0,0,0,134.366,48.93342858,441.95,5.7,0
"3335",3335,27750,6,"BN","NotDet",2,564.98,0.01,120.8632813,13,0,0,0,726.6454247,991.0815274,0,15,0,0.333333333,0,0.666666667,0,0,0,77.978,5.041834104,441.84,5.57,-0.01
"3338",3338,27800,3,"BN","NotDet",2,565.12,0.01,121.0860938,10,0,0,0,770.4072749,943.8451411,0,15,0,0.375,0,0.625,0,0,0,256.794,63.72674999,441.99,5.75,0
"3339",3339,27800,4,"BN","NotDet",2,565.12,0.01,121.0860938,10,0,0,0,770.4072749,943.8451411,0,15,0,0.375,0,0.625,0,0,0,134.366,48.93342858,441.95,5.7,0
"3341",3341,27800,6,"BN","NotDet",2,565.12,0.01,121.0860938,10,0,0,0,770.4072749,943.8451411,0,15,0,0.375,0,0.625,0,0,0,77.978,5.041834104,441.84,5.57,-0.01
"3344",3344,27850,3,"BN","NotDet",2,564.88,0,121.0870313,7,0,0,0,815.6550776,903.4129407,0,15,0,0.25,0.25,0.375,0.125,0,0,256.794,63.72674999,441.99,5.75,0
"3345",3345,27850,4,"BN","NotDet",2,564.88,0,121.0870313,7,0,0,0,815.6550776,903.4129407,0,15,0,0.25,0.25,0.375,0.125,0,0,134.366,48.93342858,441.95,5.7,0
"3347",3347,27850,6,"BN","NotDet",2,564.88,0,121.0870313,7,0,0,0,815.6550776,903.4129407,0,15,0,0.25,0.25,0.375,0.125,0,0,77.978,5.041834104,441.84,5.57,-0.01
"3350",3350,27900,3,"BN","NotDet",2,564.8,0.02,121.0876563,6,0,0,0,807.8441598,926.0794539,0,12,0,0,0.5,0.5,0,0,0,256.794,63.72674999,441.99,5.75,0
"3351",3351,27900,4,"BN","NotDet",2,564.8,0.02,121.0876563,6,0,0,0,807.8441598,926.0794539,0,12,0,0,0.5,0.5,0,0,0,134.366,48.93342858,441.95,5.7,0
"3353",3353,27900,6,"BN","NotDet",2,564.8,0.02,121.0876563,6,0,0,0,807.8441598,926.0794539,0,12,0,0,0.5,0.5,0,0,0,77.978,5.041834104,441.84,5.57,-0.01
"3356",3356,27950,3,"BN","NotDet",2,564.66,0.02,121.088125,5,0,0,0,848.3074216,887.9596633,0,12,0,0.125,0.625,0.125,0.125,0,0,256.794,63.72674999,441.99,5.75,0
"3357",3357,27950,4,"BN","NotDet",2,564.66,0.02,121.088125,5,0,0,0,848.3074216,887.9596633,0,12,0,0.125,0.625,0.125,0.125,0,0,134.366,48.93342858,441.95,5.7,0
"3359",3359,27950,6,"BN","NotDet",2,564.66,0.02,121.088125,5,0,0,0,848.3074216,887.9596633,0,12,0,0.125,0.625,0.125,0.125,0,0,77.978,5.041834104,441.84,5.57,-0.01
"3362",3362,28000,3,"BN","NotDet",2,564.71,0.02,121.0895313,9,0,0,0,895.1714782,838.0471242,0,12,0,0.25,0.625,0.125,0,0,0,256.794,63.72674999,441.99,5.75,0
"3363",3363,28000,4,"BN","NotDet",2,564.71,0.02,121.0895313,9,0,0,0,895.1714782,838.0471242,0,12,0,0.25,0.625,0.125,0,0,0,134.366,48.93342858,441.95,5.7,0
"3365",3365,28000,6,"BN","NotDet",2,564.71,0.02,121.0895313,9,0,0,0,895.1714782,838.0471242,0,12,0,0.25,0.625,0.125,0,0,0,77.978,5.041834104,441.84,5.57,-0.01
"3368",3368,28050,3,"BN","NotDet",2,564.34,0.03,121.1728125,11,0,0,0,942.3577713,788.1034334,0,4,0,0.444444444,0.222222222,0.222222222,0.111111111,0,0,256.794,63.72674999,441.99,5.75,0
"3369",3369,28050,4,"BN","NotDet",2,564.34,0.03,121.1728125,11,0,0,0,942.3577713,788.1034334,0,4,0,0.444444444,0.222222222,0.222222222,0.111111111,0,0,134.366,48.93342858,441.95,5.7,0
"3371",3371,28050,6,"BN","NotDet",2,564.34,0.03,121.1728125,11,0,0,0,942.3577713,788.1034334,0,4,0,0.444444444,0.222222222,0.222222222,0.111111111,0,0,77.978,5.041834104,441.84,5.57,-0.01
"3374",3374,28100,3,"BN","NotDet",2,563.51,0.02,122.2907813,12,0,0,0,989.7317422,738.1537896,0,21,0,0.444444444,0,0,0.555555556,0,0,256.794,63.72674999,441.99,5.75,0
"3375",3375,28100,4,"BN","NotDet",2,563.51,0.02,122.2907813,12,0,0,0,989.7317422,738.1537896,0,21,0,0.444444444,0,0,0.555555556,0,0,134.366,48.93342858,441.95,5.7,0
"3377",3377,28100,6,"BN","NotDet",2,563.51,0.02,122.2907813,12,0,0,0,989.7317422,738.1537896,0,21,0,0.444444444,0,0,0.555555556,0,0,77.978,5.041834104,441.84,5.57,-0.01
"3380",3380,28150,3,"BN","NotDet",2,563.28,0.03,122.2990625,10,0,0,0,1036.637766,688.1924186,0,21,0,0.111111111,0,0.222222222,0.444444444,0,0.222222222,256.794,63.72674999,441.99,5.75,0
"3381",3381,28150,4,"BN","NotDet",2,563.28,0.03,122.2990625,10,0,0,0,1036.637766,688.1924186,0,21,0,0.111111111,0,0.222222222,0.444444444,0,0.222222222,134.366,48.93342858,441.95,5.7,0
"3383",3383,28150,6,"BN","NotDet",2,563.28,0.03,122.2990625,10,0,0,0,1036.637766,688.1924186,0,21,0,0.111111111,0,0.222222222,0.444444444,0,0.222222222,77.978,5.041834104,441.84,5.57,-0.01
"3386",3386,28200,3,"BN","NotDet",2,563.15,0.02,122.3053125,8,0,0,0,1083.038957,638.2411938,0,15,0,0,0,0.555555556,0,0,0.444444444,256.794,63.72674999,441.99,5.75,0
"3387",3387,28200,4,"BN","NotDet",2,563.15,0.02,122.3053125,8,0,0,0,1083.038957,638.2411938,0,15,0,0,0,0.555555556,0,0,0.444444444,134.366,48.93342858,441.95,5.7,0
"3389",3389,28200,6,"BN","Dry",1,563.15,0.02,122.3053125,8,0,0,0,1083.038957,638.2411938,0,15,0,0,0,0.555555556,0,0,0.444444444,77.978,5.041834104,441.84,5.57,-0.01
"3392",3392,28250,3,"BN","NotDet",2,562.6,0.01,124.870625,11,0,0,0,1131.082602,588.5831225,0,15,0,0,0.25,0.375,0,0,0.375,256.794,63.72674999,441.99,5.75,0
"3393",3393,28250,4,"BN","NotDet",2,562.6,0.01,124.870625,11,0,0,0,1131.082602,588.5831225,0,15,0,0,0.25,0.375,0,0,0.375,134.366,48.93342858,441.95,5.7,0
"3395",3395,28250,6,"BN","Dry",1,562.6,0.01,124.870625,11,0,0,0,1131.082602,588.5831225,0,15,0,0,0.25,0.375,0,0,0.375,77.978,5.041834104,441.84,5.57,-0.01
"3398",3398,28300,3,"BN","NotDet",2,562.9,0.03,124.87625,9,0,0,0,1180.692634,543.0467785,0,15,0,0,0.375,0.5,0,0,0.125,256.794,63.72674999,441.99,5.75,0
"3399",3399,28300,4,"BN","NotDet",2,562.9,0.03,124.87625,9,0,0,0,1180.692634,543.0467785,0,15,0,0,0.375,0.5,0,0,0.125,134.366,48.93342858,441.95,5.7,0
"3401",3401,28300,6,"BN","NotDet",2,562.9,0.03,124.87625,9,0,0,0,1180.692634,543.0467785,0,15,0,0,0.375,0.5,0,0,0.125,77.978,5.041834104,441.84,5.57,-0.01
"3404",3404,28350,3,"BN","NotDet",2,562.5,0.04,124.88125,9,0,0,0,1228.05314,505.5035269,0,15,0,0,0.333333333,0.444444444,0,0,0.222222222,256.794,63.72674999,441.99,5.75,0
"3405",3405,28350,4,"BN","NotDet",2,562.5,0.04,124.88125,9,0,0,0,1228.05314,505.5035269,0,15,0,0,0.333333333,0.444444444,0,0,0.222222222,134.366,48.93342858,441.95,5.7,0
"3407",3407,28350,6,"BN","NotDet",2,562.5,0.04,124.88125,9,0,0,0,1228.05314,505.5035269,0,15,0,0,0.333333333,0.444444444,0,0,0.222222222,77.978,5.041834104,441.84,5.57,-0.01
"3410",3410,28400,3,"BN","NotDet",2,561.92,0.04,127.4484375,12,0,0,0,1276.986262,460.6377678,0,15,0,0,0.125,0.875,0,0,0,256.794,63.72674999,441.99,5.75,0
"3411",3411,28400,4,"BN","NotDet",2,561.92,0.04,127.4484375,12,0,0,0,1276.986262,460.6377678,0,15,0,0,0.125,0.875,0,0,0,134.366,48.93342858,441.95,5.7,0
"3413",3413,28400,6,"BN","NotDet",2,561.92,0.04,127.4484375,12,0,0,0,1276.986262,460.6377678,0,15,0,0,0.125,0.875,0,0,0,77.978,5.041834104,441.84,5.57,-0.01
"3416",3416,28450,3,"BN","NotDet",2,561.57,0.04,127.4517188,9,0,0,0,1316.395918,441.0924729,0,15,0,0,0.111111111,0.666666667,0.222222222,0,0,256.794,63.72674999,441.99,5.75,0
"3417",3417,28450,4,"BN","NotDet",2,561.57,0.04,127.4517188,9,0,0,0,1316.395918,441.0924729,0,15,0,0,0.111111111,0.666666667,0.222222222,0,0,134.366,48.93342858,441.95,5.7,0
"3419",3419,28450,6,"BN","NotDet",2,561.57,0.04,127.4517188,9,0,0,0,1316.395918,441.0924729,0,15,0,0,0.111111111,0.666666667,0.222222222,0,0,77.978,5.041834104,441.84,5.57,-0.01
"3422",3422,28500,3,"BN","NotDet",2,561.06,0.02,127.705625,12,0,0,0,1352.883321,427.3263387,0,12,0,0,0.375,0.25,0.375,0,0,256.794,63.72674999,441.99,5.75,0
"3423",3423,28500,4,"BN","NotDet",2,561.06,0.02,127.705625,12,0,0,0,1352.883321,427.3263387,0,12,0,0,0.375,0.25,0.375,0,0,134.366,48.93342858,441.95,5.7,0
"3425",3425,28500,6,"BN","NotDet",2,561.06,0.02,127.705625,12,0,0,0,1352.883321,427.3263387,0,12,0,0,0.375,0.25,0.375,0,0,77.978,5.041834104,441.84,5.57,-0.01
"3428",3428,28550,3,"BN","NotDet",2,560.73,0.01,127.7121875,10,0,0,0,1402.886134,390.8313983,0,12,0,0.111111111,0.444444444,0.111111111,0.333333333,0,0,256.794,63.72674999,441.99,5.75,0
"3429",3429,28550,4,"BN","NotDet",2,560.73,0.01,127.7121875,10,0,0,0,1402.886134,390.8313983,0,12,0,0.111111111,0.444444444,0.111111111,0.333333333,0,0,134.366,48.93342858,441.95,5.7,0
"3431",3431,28550,6,"BN","NotDet",2,560.73,0.01,127.7121875,10,0,0,0,1402.886134,390.8313983,0,12,0,0.111111111,0.444444444,0.111111111,0.333333333,0,0,77.978,5.041834104,441.84,5.57,-0.01
"3434",3434,28600,3,"BN","NotDet",2,560.75,0.01,127.73875,8,0,0,0,1452.663287,360.8983717,0,12,0,0,0.444444444,0.222222222,0.333333333,0,0,256.794,63.72674999,441.99,5.75,0
"3435",3435,28600,4,"BN","NotDet",2,560.75,0.01,127.73875,8,0,0,0,1452.663287,360.8983717,0,12,0,0,0.444444444,0.222222222,0.333333333,0,0,134.366,48.93342858,441.95,5.7,0
"3437",3437,28600,6,"BN","NotDet",2,560.75,0.01,127.73875,8,0,0,0,1452.663287,360.8983717,0,12,0,0,0.444444444,0.222222222,0.333333333,0,0,77.978,5.041834104,441.84,5.57,-0.01
"3440",3440,28650,3,"BN","NotDet",2,559.94,0,127.743125,8,0,0,0,1501.325354,329.162957,0,15,0,0,0.125,0.75,0.125,0,0,256.794,63.72674999,441.99,5.75,0
"3441",3441,28650,4,"BN","NotDet",2,559.94,0,127.743125,8,0,0,0,1501.325354,329.162957,0,15,0,0,0.125,0.75,0.125,0,0,134.366,48.93342858,441.95,5.7,0
"3443",3443,28650,6,"BN","Dry",1,559.94,0,127.743125,8,0,0,0,1501.325354,329.162957,0,15,0,0,0.125,0.75,0.125,0,0,77.978,5.041834104,441.84,5.57,-0.01
"3446",3446,28700,3,"BN","NotDet",2,559.35,0,127.748125,7,0,0,0,1508.585994,290.2904234,0,15,0,0,0,1,0,0,0,256.794,63.72674999,441.99,5.75,0
"3447",3447,28700,4,"BN","NotDet",2,559.35,0,127.748125,7,0,0,0,1508.585994,290.2904234,0,15,0,0,0,1,0,0,0,134.366,48.93342858,441.95,5.7,0
"3449",3449,28700,6,"BN","Dry",1,559.35,0,127.748125,7,0,0,0,1508.585994,290.2904234,0,15,0,0,0,1,0,0,0,77.978,5.041834104,441.84,5.57,-0.01
"3452",3452,28750,3,"BN","NotDet",2,559.48,0,127.7565625,7,0,0,0,1460.068616,320.0508859,0,15,0,0,0,0.75,0.25,0,0,256.794,63.72674999,441.99,5.75,0
"3453",3453,28750,4,"BN","NotDet",2,559.48,0,127.7565625,7,0,0,0,1460.068616,320.0508859,0,15,0,0,0,0.75,0.25,0,0,134.366,48.93342858,441.95,5.7,0
"3455",3455,28750,6,"BN","Dry",1,559.48,0,127.7565625,7,0,0,0,1460.068616,320.0508859,0,15,0,0,0,0.75,0.25,0,0,77.978,5.041834104,441.84,5.57,-0.01
"3458",3458,28800,3,"BN","NotDet",2,559.83,0,127.7634375,7,0,0,0,1445.968705,311.7192702,0,15,0,0,0,0.875,0.125,0,0,256.794,63.72674999,441.99,5.75,0
"3459",3459,28800,4,"BN","NotDet",2,559.83,0,127.7634375,7,0,0,0,1445.968705,311.7192702,0,15,0,0,0,0.875,0.125,0,0,134.366,48.93342858,441.95,5.7,0
"3461",3461,28800,6,"BN","Dry",1,559.83,0,127.7634375,7,0,0,0,1445.968705,311.7192702,0,15,0,0,0,0.875,0.125,0,0,77.978,5.041834104,441.84,5.57,-0.01
"3464",3464,28850,3,"BN","NotDet",2,560.06,0,127.860625,7,0,0,0,1486.994638,264.3819967,0,15,0,0,0,1,0,0,0,256.794,63.72674999,441.99,5.75,0
"3465",3465,28850,4,"BN","NotDet",2,560.06,0,127.860625,7,0,0,0,1486.994638,264.3819967,0,15,0,0,0,1,0,0,0,134.366,48.93342858,441.95,5.7,0
"3467",3467,28850,6,"BN","Dry",1,560.06,0,127.860625,7,0,0,0,1486.994638,264.3819967,0,15,0,0,0,1,0,0,0,77.978,5.041834104,441.84,5.57,-0.01
