"","X","Units","Month","Section","WC","WC_int","elev_mean","slope_mean","contr_max_km2","stream_sum","recur_mean","occur_mean","ext_sum","Dist_fromLast","Dist_toNext","Dam","mapbio_maj","mb_forest_","mb_savan_m","mb_grass_m","mb_past_me","mb_agri_me","mb_water_m","mb_crops_m","acm30","api30","Level","Vol_hm3","dV_hm3","SENTndvi_mean","SENTndwi_mean","SENTswi_mean","SENTndmi_re_mean","SENTndmi_nir_mean","SENTmndwi_mean","dw_majorit","bare_freq","built_freq","crops_freq","flooded_freq","grass_freq","shrubs_freq","trees_freq","water_freq"
"28",3341,27800,6,"BN","NotDet",2,565.12,0.01,121.0860938,10,0,0,0,770.4072749,943.8451411,0,15,0,0.375,0,0.625,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.243160333,-0.225342651,-0.258995011,-0.021126228,-0.080107265,-0.300270736,1,0,0,0,0,0,0.467532468,0.532467532,0
"29",3347,27850,6,"BN","NotDet",2,564.88,0,121.0870313,7,0,0,0,815.6550776,903.4129407,0,15,0,0.25,0.25,0.375,0.125,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.240964906,-0.228044459,-0.262615447,-0.027686674,-0.084228644,-0.306549805,5,0,0,0,0,0,0.706666667,0.293333333,0
"30",3353,27900,6,"BN","NotDet",2,564.8,0.02,121.0876563,6,0,0,0,807.8441598,926.0794539,0,12,0,0,0.5,0.5,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.194008455,-0.191242789,-0.281283696,-0.084074398,-0.13977394,-0.322617846,5,0,0,0,0,0,1,0,0
"31",3359,27950,6,"BN","NotDet",2,564.66,0.02,121.088125,5,0,0,0,848.3074216,887.9596633,0,12,0,0.125,0.625,0.125,0.125,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.206172443,-0.184724517,-0.281130211,-0.078229058,-0.135329386,-0.31239557,5,0,0,0,0,0,1,0,0
"32",3365,28000,6,"BN","NotDet",2,564.71,0.02,121.0895313,9,0,0,0,895.1714782,838.0471242,0,12,0,0.25,0.625,0.125,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.213855948,-0.192969386,-0.277141394,-0.064512248,-0.121062514,-0.306930769,5,0,0,0,0,0,0.974358974,0.025641026,0
"33",3371,28050,6,"BN","NotDet",2,564.34,0.03,121.1728125,11,0,0,0,942.3577713,788.1034334,0,4,0,0.444444444,0.222222222,0.222222222,0.111111111,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.231313005,-0.208326802,-0.274008414,-0.047784829,-0.10546341,-0.307069391,5,0,0,0,0,0,0.936708861,0.063291139,0
"34",3377,28100,6,"BN","NotDet",2,563.51,0.02,122.2907813,12,0,0,0,989.7317422,738.1537896,0,21,0,0.444444444,0,0,0.555555556,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.250792751,-0.220044049,-0.264358759,-0.021281295,-0.079513875,-0.294483531,5,0,0,0,0,0,0.897435897,0.102564103,0
"35",3383,28150,6,"BN","NotDet",2,563.28,0.03,122.2990625,10,0,0,0,1036.637766,688.1924186,0,21,0,0.111111111,0,0.222222222,0.444444444,0,0.222222222,77.978,5.041834104,441.84,5.57,-0.01,0.259846828,-0.233942557,-0.2576131,-0.006429751,-0.067792686,-0.297156935,5,0,0,0,0,0,0.883116883,0.116883117,0
"36",3389,28200,6,"BN","Dry",1,563.15,0.02,122.3053125,8,0,0,0,1083.038957,638.2411938,0,15,0,0,0,0.555555556,0,0,0.444444444,77.978,5.041834104,441.84,5.57,-0.01,0.234178908,-0.230034271,-0.259174852,-0.028465433,-0.087735286,-0.311484288,5,0,0,0,0,0,1,0,0
"37",3395,28250,6,"BN","Dry",1,562.6,0.01,124.870625,11,0,0,0,1131.082602,588.5831225,0,15,0,0,0.25,0.375,0,0,0.375,77.978,5.041834104,441.84,5.57,-0.01,0.222807143,-0.213820964,-0.261251272,-0.045193242,-0.103134946,-0.31005197,5,0,0,0,0,0,1,0,0
